Retailer,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Sales Method,Total Sales,Date
West Gear,West,Utah,Salt Lake City,Women's Apparel,32,190,304,Outlet,6080,6/11/2021
West Gear,West,Oregon,Portland,Men's Street Footwear,34,190,258.4,Outlet,6460,11/24/2021
Sports Direct,West,Idaho,Boise,Men's Athletic Footwear,27,190,205.2,Outlet,5130,10/4/2021
Foot Locker,West,Arizona,Phoenix,Men's Athletic Footwear,46,190,349.6,Outlet,8740,8/23/2021
Sports Direct,Southeast,Georgia,Atlanta,Women's Apparel,53,190,302.1,Outlet,10070,6/13/2021
West Gear,West,California,San Francisco,Women's Apparel,72,189,408.24,Online,13608,1/5/2021
Kohl's,West,California,San Francisco,Women's Street Footwear,41,189,387.45,Online,7749,3/9/2021
Kohl's,West,California,Los Angeles,Women's Athletic Footwear,44,189,415.8,Online,8316,4/28/2021
Kohl's,West,California,Los Angeles,Men's Apparel,46,189,608.58,Online,8694,4/29/2021
Kohl's,West,California,Los Angeles,Women's Apparel,61,189,461.16,Online,11529,5/6/2021
Kohl's,West,California,Los Angeles,Women's Apparel,59,189,334.53,Online,11151,5/12/2021
Kohl's,West,California,Los Angeles,Women's Apparel,59,189,334.53,Online,11151,5/24/2021
Sports Direct,Midwest,Illinois,Chicago,Men's Street Footwear,20,189,151.2,Online,3780,8/11/2021
Sports Direct,South,Texas,Dallas,Women's Street Footwear,62,189,585.9,Online,11718,10/18/2021
Sports Direct,South,Tennessee,Knoxville,Men's Street Footwear,27,189,255.15,Online,5103,3/22/2021
Sports Direct,South,Tennessee,Knoxville,Men's Street Footwear,14,189,132.3,Online,2646,4/3/2021
Sports Direct,South,Tennessee,Knoxville,Men's Athletic Footwear,29,189,328.86,Online,5481,5/10/2021
Sports Direct,South,Alabama,Birmingham,Men's Athletic Footwear,19,189,215.46,Online,3591,8/20/2021
Sports Direct,South,Alabama,Birmingham,Men's Athletic Footwear,19,189,215.46,Online,3591,8/26/2021
Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,44,189,498.96,Online,8316,9/2/2021
Amazon,West,Alaska,Anchorage,Men's Street Footwear,59,189,557.55,Online,11151,6/22/2021
Walmart,West,Hawaii,Honolulu,Men's Street Footwear,68,189,514.08,Online,12852,12/9/2021
Walmart,Southeast,Florida,Orlando,Women's Street Footwear,86,189,650.16,Online,16254,7/16/2021
Walmart,Southeast,Florida,Orlando,Women's Street Footwear,78,189,589.68,Online,14742,8/17/2021
West Gear,Southeast,Florida,Orlando,Men's Athletic Footwear,44,189,415.8,Online,8316,1/12/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Street Footwear,69,189,652.05,Online,13041,8/24/2021
Sports Direct,Midwest,Michigan,Detroit,Men's Athletic Footwear,53,189,500.85,Online,10017,7/15/2021
West Gear,West,Oregon,Portland,Women's Street Footwear,78,189,737.1,Online,14742,6/24/2021
West Gear,West,Oregon,Portland,Women's Apparel,95,189,897.75,Online,17955,6/24/2021
West Gear,South,Louisiana,New Orleans,Men's Apparel,86,189,975.24,Online,16254,7/16/2021
West Gear,South,Louisiana,New Orleans,Women's Street Footwear,70,189,793.8,Online,13230,8/17/2021
Sports Direct,West,Idaho,Boise,Men's Athletic Footwear,32,189,302.4,Online,6048,11/5/2021
Sports Direct,Southeast,Georgia,Atlanta,Men's Athletic Footwear,58,189,548.1,Online,10962,12/12/2021
Foot Locker,Southeast,Georgia,Atlanta,Men's Apparel,47,189,444.15,Online,8883,1/9/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Apparel,49,189,463.05,Online,9261,2/7/2021
Foot Locker,Southeast,South Carolina,Charleston,Women's Apparel,32,189,362.88,Online,6048,3/5/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Apparel,52,189,491.4,Online,9828,10/7/2021
Sports Direct,Southeast,South Carolina,Charleston,Women's Street Footwear,24,189,226.8,Online,4536,1/6/2021
Sports Direct,Southeast,North Carolina,Charlotte,Women's Apparel,32,189,362.88,Online,6048,4/3/2021
Foot Locker,Southeast,Kentucky,Louisville,Men's Street Footwear,29,189,274.05,Online,5481,1/20/2021
Sports Direct,South,Mississippi,Jackson,Men's Street Footwear,24,189,226.8,Online,4536,2/21/2021
West Gear,South,Oklahoma,Oklahoma City,Men's Street Footwear,56,189,529.2,Online,10584,8/20/2021
Kohl's,Midwest,Kansas,Wichita,Men's Street Footwear,56,189,529.2,Online,10584,8/13/2021
Foot Locker,Northeast,Delaware,Wilmington,Men's Street Footwear,51,189,481.95,Online,9639,6/15/2021
Sports Direct,Northeast,Connecticut,Hartford,Men's Street Footwear,54,189,510.3,Online,10206,7/3/2021
West Gear,West,California,San Francisco,Women's Athletic Footwear,59,188,443.68,Online,11092,1/21/2021
West Gear,West,California,San Francisco,Men's Apparel,69,188,778.32,Online,12972,1/22/2021
Kohl's,West,California,Los Angeles,Women's Apparel,41,188,308.32,Online,7708,4/6/2021
Kohl's,Midwest,Montana,Billings,Men's Athletic Footwear,54,188,406.08,Online,10152,2/9/2021
Sports Direct,South,Alabama,Birmingham,Men's Athletic Footwear,36,188,338.4,Online,6768,8/14/2021
Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,59,188,665.52,Online,11092,9/20/2021
Sports Direct,South,Alabama,Birmingham,Women's Apparel,56,188,842.24,Online,10528,10/5/2021
West Gear,Northeast,New York,Albany,Women's Street Footwear,51,188,383.52,Online,9588,8/9/2021
West Gear,West,Oregon,Portland,Men's Street Footwear,61,188,573.4,Online,11468,12/23/2021
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,39,188,366.6,Online,7332,11/17/2021
West Gear,West,Idaho,Boise,Men's Athletic Footwear,46,188,432.4,Online,8648,6/4/2021
Sports Direct,West,Idaho,Boise,Men's Athletic Footwear,50,188,470,Online,9400,9/5/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Apparel,47,188,441.8,Online,8836,4/6/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Athletic Footwear,45,188,423,Online,8460,5/5/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Athletic Footwear,44,188,330.88,Online,8272,11/6/2021
Sports Direct,Southeast,South Carolina,Charleston,Men's Athletic Footwear,34,188,319.6,Online,6392,2/4/2021
Foot Locker,South,Mississippi,Jackson,Women's Apparel,60,188,676.8,Online,11280,6/18/2021
Kohl's,Northeast,New Jersey,Newark,Men's Street Footwear,47,188,441.8,Online,8836,7/6/2021
Sports Direct,South,Alabama,Birmingham,Men's Street Footwear,14,188,157.92,Outlet,2632,9/30/2021
Sports Direct,South,Alabama,Birmingham,Women's Apparel,45,188,592.2,Outlet,8460,10/5/2021
Walmart,Southeast,Florida,Orlando,Men's Street Footwear,41,188,231.24,Outlet,7708,11/17/2021
Foot Locker,West,Idaho,Boise,Men's Athletic Footwear,27,188,203.04,Outlet,5076,3/6/2021
Kohl's,West,New Mexico,Albuquerque,Men's Athletic Footwear,39,188,366.6,Outlet,7332,9/27/2021
Amazon,Northeast,New Hampshire,Manchester,Men's Street Footwear,39,188,366.6,Outlet,7332,3/17/2021
Foot Locker,South,Mississippi,Jackson,Men's Street Footwear,23,187,258.06,Online,4301,3/16/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Athletic Footwear,65,187,486.2,Outlet,12155,7/23/2021
Sports Direct,Southeast,Virginia,Richmond,Men's Athletic Footwear,28,187,261.8,Outlet,5236,1/19/2021
West Gear,West,Idaho,Boise,Women's Athletic Footwear,33,187,308.55,Outlet,6171,6/4/2021
Kohl's,West,New Mexico,Albuquerque,Men's Street Footwear,30,187,224.4,Outlet,5610,3/25/2021
Kohl's,West,New Mexico,Albuquerque,Men's Athletic Footwear,47,187,351.56,Outlet,8789,6/26/2021
Sports Direct,Southeast,Georgia,Atlanta,Men's Street Footwear,37,187,345.95,Outlet,6919,5/14/2021
Amazon,Northeast,New Hampshire,Manchester,Men's Street Footwear,33,187,246.84,Outlet,6171,4/18/2021
Foot Locker,Midwest,Missouri,St. Louis,Men's Street Footwear,34,186,316.2,Online,6324,3/17/2021
Walmart,Southeast,Florida,Orlando,Women's Athletic Footwear,59,186,329.22,Outlet,10974,7/16/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Apparel,82,186,457.56,Outlet,15252,7/23/2021
West Gear,West,Idaho,Boise,Women's Street Footwear,34,186,252.96,Outlet,6324,6/4/2021
Amazon,Northeast,Vermont,Burlington,Men's Street Footwear,48,186,446.4,Outlet,8928,12/10/2021
Amazon,Northeast,Vermont,Burlington,Men's Street Footwear,34,186,252.96,Outlet,6324,2/19/2021
Amazon,Northeast,Vermont,Burlington,Men's Street Footwear,35,185,323.75,Outlet,6475,3/10/2021
Sports Direct,South,Texas,Dallas,Men's Apparel,39,184,287.04,Outlet,7176,9/20/2021
Sports Direct,South,Alabama,Birmingham,Men's Street Footwear,20,184,184,Outlet,3680,9/24/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Athletic Footwear,61,184,448.96,Outlet,11224,6/24/2021
West Gear,West,Utah,Salt Lake City,Women's Apparel,27,184,298.08,Outlet,4968,8/11/2021
West Gear,South,Louisiana,New Orleans,Women's Athletic Footwear,59,184,542.8,Outlet,10856,6/17/2021
West Gear,South,Louisiana,New Orleans,Men's Athletic Footwear,34,184,312.8,Outlet,6256,10/17/2021
West Gear,West,Idaho,Boise,Women's Street Footwear,18,184,132.48,Outlet,3312,5/5/2021
Foot Locker,West,Idaho,Boise,Women's Athletic Footwear,44,184,404.8,Outlet,8096,12/4/2021
Foot Locker,West,Arizona,Phoenix,Men's Street Footwear,38,184,279.68,Outlet,6992,5/24/2021
Foot Locker,West,Arizona,Phoenix,Men's Street Footwear,35,184,257.6,Outlet,6440,9/24/2021
Kohl's,West,New Mexico,Albuquerque,Men's Street Footwear,43,184,316.48,Outlet,7912,5/27/2021
Sports Direct,Southeast,Georgia,Atlanta,Women's Street Footwear,41,184,301.76,Outlet,7544,7/12/2021
Sports Direct,Southeast,Georgia,Atlanta,Men's Athletic Footwear,40,184,294.4,Outlet,7360,11/13/2021
West Gear,South,Oklahoma,Oklahoma City,Men's Street Footwear,20,184,184,Outlet,3680,4/20/2021
Amazon,Northeast,Massachusetts,Boston,Men's Street Footwear,33,184,303.6,Outlet,6072,2/12/2021
Foot Locker,Northeast,New Hampshire,Manchester,Men's Street Footwear,41,184,301.76,Outlet,7544,2/22/2021
West Gear,West,California,San Francisco,Women's Athletic Footwear,56,182,509.6,Online,10192,1/3/2021
West Gear,West,California,San Francisco,Women's Street Footwear,50,182,364,Online,9100,2/1/2021
West Gear,West,California,San Francisco,Men's Apparel,59,182,644.28,Online,10738,2/3/2021
Kohl's,West,California,Los Angeles,Women's Apparel,41,182,223.86,Online,7462,3/12/2021
Kohl's,West,California,Los Angeles,Men's Apparel,58,182,738.92,Online,10556,5/5/2021
Kohl's,West,California,Los Angeles,Women's Street Footwear,46,182,418.6,Online,8372,5/27/2021
Sports Direct,South,Texas,Dallas,Men's Street Footwear,29,182,263.9,Online,5278,8/23/2021
Sports Direct,South,Texas,Dallas,Men's Street Footwear,18,182,131.04,Online,3276,8/29/2021
Kohl's,Midwest,Montana,Billings,Men's Athletic Footwear,45,182,327.6,Online,8190,3/5/2021
Sports Direct,Midwest,Montana,Billings,Men's Athletic Footwear,29,182,263.9,Online,5278,3/11/2021
Sports Direct,South,Tennessee,Knoxville,Men's Street Footwear,49,182,535.08,Online,8918,4/27/2021
Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,54,182,589.68,Online,9828,4/29/2021
Sports Direct,South,Alabama,Birmingham,Women's Apparel,59,182,859.04,Online,10738,9/17/2021
Amazon,West,Alaska,Anchorage,Men's Street Footwear,63,182,573.3,Online,11466,7/20/2021
Foot Locker,West,Hawaii,Honolulu,Men's Athletic Footwear,81,182,442.26,Online,14742,7/9/2021
Walmart,West,Hawaii,Honolulu,Men's Athletic Footwear,77,182,420.42,Online,14014,12/9/2021
West Gear,Northeast,New York,Albany,Women's Apparel,42,182,458.64,Online,7644,2/10/2021
Kohl's,Northeast,New York,Albany,Women's Apparel,69,182,753.48,Online,12558,12/8/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Apparel,96,182,698.88,Online,17472,6/24/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Street Footwear,86,182,626.08,Online,15652,7/23/2021
Foot Locker,Midwest,Michigan,Detroit,Men's Street Footwear,29,182,263.9,Online,5278,2/18/2021
West Gear,West,Utah,Salt Lake City,Men's Street Footwear,28,182,254.8,Online,5096,6/11/2021
Foot Locker,South,Louisiana,New Orleans,Men's Street Footwear,19,182,138.32,Online,3458,1/5/2021
Sports Direct,West,Idaho,Boise,Women's Street Footwear,56,182,509.6,Online,10192,9/5/2021
Sports Direct,West,Idaho,Boise,Men's Street Footwear,33,182,300.3,Online,6006,11/5/2021
Kohl's,West,New Mexico,Albuquerque,Men's Athletic Footwear,61,182,555.1,Online,11102,12/25/2021
Sports Direct,Southeast,Georgia,Atlanta,Men's Street Footwear,53,182,482.3,Online,9646,8/13/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Athletic Footwear,34,182,309.4,Online,6188,4/6/2021
Foot Locker,Southeast,South Carolina,Charleston,Women's Street Footwear,24,182,174.72,Online,4368,4/6/2021
Foot Locker,Southeast,South Carolina,Charleston,Women's Athletic Footwear,43,182,313.04,Online,7826,5/5/2021
Sports Direct,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,42,182,382.2,Online,7644,5/2/2021
Sports Direct,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,42,182,382.2,Online,7644,6/4/2021
Sports Direct,Southeast,North Carolina,Charlotte,Men's Apparel,59,182,536.9,Online,10738,7/2/2021
Sports Direct,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,44,182,400.4,Online,8008,8/3/2021
Walmart,South,Arkansas,Little Rock,Men's Street Footwear,48,182,436.8,Online,8736,9/19/2021
West Gear,South,Oklahoma,Oklahoma City,Men's Street Footwear,50,182,455,Online,9100,7/19/2021
Kohl's,Midwest,Kansas,Wichita,Men's Street Footwear,51,182,464.1,Online,9282,7/12/2021
West Gear,Northeast,West Virginia,Charleston,Men's Street Footwear,55,182,500.5,Online,10010,7/16/2021
Foot Locker,Northeast,Delaware,Wilmington,Men's Street Footwear,53,182,482.3,Online,9646,7/13/2021
Amazon,Northeast,Vermont,Burlington,Men's Street Footwear,54,182,589.68,Online,9828,7/10/2021
West Gear,West,California,San Francisco,Men's Apparel,49,182,535.08,Outlet,8918,1/4/2021
Kohl's,West,California,San Francisco,Women's Athletic Footwear,33,182,240.24,Outlet,6006,3/10/2021
Sports Direct,South,Texas,Dallas,Women's Athletic Footwear,27,182,245.7,Outlet,4914,9/7/2021
Sports Direct,South,Tennessee,Knoxville,Men's Apparel,33,182,240.24,Outlet,6006,4/19/2021
West Gear,West,Utah,Salt Lake City,Men's Athletic Footwear,20,182,145.6,Outlet,3640,7/10/2021
Kohl's,West,New Mexico,Albuquerque,Men's Athletic Footwear,38,182,276.64,Outlet,6916,10/26/2021
West Gear,South,Oklahoma,Oklahoma City,Men's Street Footwear,14,182,127.4,Outlet,2548,3/19/2021
Sports Direct,Northeast,Connecticut,Hartford,Men's Street Footwear,26,182,189.28,Outlet,4732,3/3/2021
Foot Locker,Northeast,Rhode Island,Providence,Men's Street Footwear,38,182,276.64,Outlet,6916,8/7/2021
West Gear,West,California,San Francisco,Women's Apparel,76,181,412.68,Online,13756,1/23/2021
Kohl's,West,California,Los Angeles,Women's Apparel,64,181,347.52,Online,11584,4/18/2021
Sports Direct,South,Texas,Dallas,Men's Street Footwear,53,181,575.58,Online,9593,9/28/2021
Sports Direct,South,Texas,Dallas,Men's Street Footwear,38,181,343.9,Online,6878,10/10/2021
Sports Direct,South,Tennessee,Knoxville,Men's Athletic Footwear,33,181,298.65,Online,5973,3/17/2021
Sports Direct,South,Tennessee,Knoxville,Women's Apparel,53,181,671.51,Online,9593,4/26/2021
West Gear,Northeast,New York,Albany,Women's Apparel,69,181,749.34,Online,12489,6/10/2021
Sports Direct,Midwest,Michigan,Detroit,Men's Street Footwear,32,181,347.52,Online,5792,4/16/2021
West Gear,West,Utah,Salt Lake City,Men's Street Footwear,27,181,244.35,Online,4887,4/11/2021
Sports Direct,West,Idaho,Boise,Women's Apparel,49,181,620.83,Online,8869,9/5/2021
Foot Locker,West,Arizona,Phoenix,Men's Street Footwear,44,181,398.2,Online,7964,12/22/2021
Foot Locker,Southeast,South Carolina,Charleston,Women's Street Footwear,24,181,173.76,Online,4344,3/5/2021
Foot Locker,Southeast,South Carolina,Charleston,Men's Apparel,41,181,371.05,Online,7421,3/5/2021
Sports Direct,Southeast,South Carolina,Charleston,Men's Athletic Footwear,34,181,307.7,Online,6154,1/6/2021
Sports Direct,Southeast,North Carolina,Charlotte,Women's Street Footwear,19,181,171.95,Online,3439,3/2/2021
Sports Direct,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,49,181,443.45,Online,8869,9/2/2021
Amazon,Midwest,Ohio,Columbus,Women's Apparel,69,181,749.34,Online,12489,7/9/2021
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,60,181,543,Online,10860,12/9/2021
Walmart,South,Arkansas,Little Rock,Men's Street Footwear,18,181,162.9,Online,3258,3/19/2021
Walmart,South,Arkansas,Little Rock,Men's Street Footwear,39,181,352.95,Online,7059,5/19/2021
Kohl's,Midwest,Montana,Billings,Men's Street Footwear,41,180,442.8,Online,7380,2/14/2021
Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,19,180,171,Online,3420,4/5/2021
Sports Direct,South,Alabama,Birmingham,Women's Athletic Footwear,41,180,516.6,Online,7380,9/3/2021
Foot Locker,West,Hawaii,Honolulu,Women's Street Footwear,71,180,511.2,Online,12780,6/10/2021
Walmart,Southeast,Florida,Orlando,Women's Athletic Footwear,82,180,590.4,Online,14760,7/16/2021
West Gear,Southeast,Florida,Orlando,Women's Athletic Footwear,78,180,561.6,Online,14040,12/16/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Apparel,96,180,691.2,Online,17280,7/23/2021
Foot Locker,Midwest,Missouri,St. Louis,Men's Street Footwear,39,180,351,Online,7020,5/19/2021
Kohl's,West,New Mexico,Albuquerque,Men's Athletic Footwear,56,180,504,Online,10080,7/25/2021
Sports Direct,Southeast,Georgia,Atlanta,Men's Street Footwear,43,180,387,Online,7740,9/14/2021
Foot Locker,Southeast,South Carolina,Charleston,Women's Athletic Footwear,27,180,194.4,Online,4860,4/6/2021
Sports Direct,Southeast,North Carolina,Charlotte,Men's Apparel,44,180,396,Online,7920,2/4/2021
Kohl's,Northeast,New Jersey,Newark,Men's Street Footwear,47,180,423,Online,8460,8/7/2021
Amazon,Northeast,Vermont,Burlington,Men's Street Footwear,49,180,441,Online,8820,2/19/2021
West Gear,South,Louisiana,New Orleans,Women's Apparel,64,180,460.8,Outlet,11520,11/17/2021
Foot Locker,South,Louisiana,New Orleans,Men's Athletic Footwear,28,180,151.2,Outlet,5040,2/4/2021
Kohl's,West,New Mexico,Albuquerque,Men's Athletic Footwear,44,180,316.8,Outlet,7920,11/26/2021
Walmart,South,Arkansas,Little Rock,Men's Street Footwear,21,180,151.2,Outlet,3780,10/21/2021
Sports Direct,Northeast,Massachusetts,Boston,Men's Street Footwear,37,180,199.8,Outlet,6660,7/13/2021
West Gear,Northeast,West Virginia,Charleston,Men's Street Footwear,58,179,519.1,Online,10382,5/18/2021
Kohl's,West,California,Los Angeles,Women's Athletic Footwear,34,179,243.44,Outlet,6086,3/16/2021
Sports Direct,South,Texas,Dallas,Women's Street Footwear,20,179,143.2,Outlet,3580,8/31/2021
Foot Locker,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,51,179,547.74,Outlet,9129,12/3/2021
Sports Direct,South,Tennessee,Knoxville,Women's Athletic Footwear,20,179,179,Outlet,3580,4/6/2021
Sports Direct,South,Tennessee,Knoxville,Women's Apparel,29,179,363.37,Outlet,5191,5/8/2021
Sports Direct,South,Alabama,Birmingham,Men's Apparel,35,179,313.25,Outlet,6265,9/10/2021
West Gear,Southeast,Florida,Orlando,Men's Apparel,64,179,343.68,Outlet,11456,12/16/2021
West Gear,West,Utah,Salt Lake City,Men's Athletic Footwear,28,179,200.48,Outlet,5012,8/11/2021
West Gear,West,Oregon,Portland,Women's Athletic Footwear,62,179,443.92,Outlet,11098,6/24/2021
West Gear,West,Oregon,Portland,Men's Athletic Footwear,37,179,264.92,Outlet,6623,10/24/2021
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,29,179,259.55,Outlet,5191,3/16/2021
Sports Direct,West,Idaho,Boise,Women's Street Footwear,31,179,221.96,Outlet,5549,10/4/2021
Sports Direct,West,Idaho,Boise,Women's Apparel,34,179,365.16,Outlet,6086,10/4/2021
Sports Direct,Southeast,Georgia,Atlanta,Men's Street Footwear,37,179,264.92,Outlet,6623,4/13/2021
Walmart,South,Mississippi,Jackson,Women's Street Footwear,37,179,264.92,Outlet,6623,8/17/2021
West Gear,South,Oklahoma,Oklahoma City,Men's Street Footwear,28,179,200.48,Outlet,5012,5/19/2021
Amazon,Northeast,Massachusetts,Boston,Men's Street Footwear,35,179,313.25,Outlet,6265,1/14/2021
Amazon,Northeast,Vermont,Burlington,Men's Street Footwear,44,179,393.8,Outlet,7876,9/10/2021
Sports Direct,South,Tennessee,Knoxville,Men's Athletic Footwear,25,178,222.5,Outlet,4450,5/4/2021
West Gear,South,Louisiana,New Orleans,Women's Apparel,46,178,327.52,Outlet,8188,5/18/2021
Sports Direct,South,Mississippi,Jackson,Women's Apparel,53,178,566.04,Outlet,9434,12/16/2021
West Gear,South,Arkansas,Little Rock,Men's Street Footwear,17,178,151.3,Outlet,3026,1/23/2021
Amazon,Northeast,Massachusetts,Boston,Men's Street Footwear,51,178,363.12,Outlet,9078,12/13/2021
Amazon,Northeast,Vermont,Burlington,Men's Street Footwear,48,177,424.8,Outlet,8496,5/10/2021
Kohl's,West,California,Los Angeles,Women's Apparel,41,176,216.48,Online,7216,3/18/2021
Kohl's,West,California,Los Angeles,Women's Athletic Footwear,46,176,404.8,Online,8096,5/10/2021
Kohl's,West,California,Los Angeles,Women's Street Footwear,49,176,431.2,Online,8624,5/15/2021
Kohl's,West,California,Los Angeles,Women's Apparel,62,176,436.48,Online,10912,5/18/2021
Kohl's,West,California,Los Angeles,Women's Athletic Footwear,47,176,330.88,Online,8272,5/22/2021
Sports Direct,South,Texas,Dallas,Men's Street Footwear,23,176,161.92,Online,4048,8/17/2021
Sports Direct,South,Texas,Dallas,Women's Street Footwear,44,176,387.2,Online,7744,9/12/2021
Sports Direct,South,Texas,Dallas,Men's Athletic Footwear,54,176,475.2,Online,9504,9/29/2021
Sports Direct,South,Texas,Dallas,Women's Street Footwear,63,176,665.28,Online,11088,10/12/2021
Sports Direct,South,Texas,Dallas,Women's Apparel,67,176,707.52,Online,11792,10/15/2021
Sports Direct,South,Tennessee,Knoxville,Men's Athletic Footwear,24,176,211.2,Online,4224,3/29/2021
West Gear,Southeast,Florida,Orlando,Women's Apparel,44,176,464.64,Online,7744,1/12/2021
West Gear,Northeast,New York,Albany,Women's Apparel,68,176,718.08,Online,11968,11/9/2021
Foot Locker,Southeast,Virginia,Richmond,Men's Athletic Footwear,62,176,545.6,Online,10912,6/24/2021
Sports Direct,Midwest,Michigan,Detroit,Women's Apparel,45,176,554.4,Online,7920,8/16/2021
Sports Direct,Midwest,Michigan,Detroit,Men's Athletic Footwear,46,176,404.8,Online,8096,12/15/2021
Sports Direct,West,Idaho,Boise,Men's Street Footwear,50,176,440,Online,8800,9/5/2021
Foot Locker,West,Idaho,Boise,Women's Street Footwear,56,176,492.8,Online,9856,12/4/2021
Kohl's,West,New Mexico,Albuquerque,Men's Athletic Footwear,60,176,528,Online,10560,8/26/2021
Sports Direct,Southeast,Georgia,Atlanta,Men's Street Footwear,46,176,404.8,Online,8096,6/13/2021
Foot Locker,Southeast,South Carolina,Charleston,Women's Street Footwear,41,176,288.64,Online,7216,10/7/2021
Foot Locker,Southeast,South Carolina,Charleston,Women's Athletic Footwear,41,176,288.64,Online,7216,10/7/2021
Sports Direct,Southeast,North Carolina,Charlotte,Men's Apparel,53,176,466.4,Online,9328,8/3/2021
Sports Direct,Southeast,North Carolina,Charlotte,Women's Apparel,48,176,506.88,Online,8448,10/4/2021
Walmart,South,Mississippi,Jackson,Women's Apparel,61,176,644.16,Online,10736,7/16/2021
Walmart,South,Mississippi,Jackson,Men's Street Footwear,32,176,281.6,Online,5632,10/18/2021
Sports Direct,South,Mississippi,Jackson,Men's Street Footwear,24,176,211.2,Online,4224,1/23/2021
Foot Locker,Northeast,West Virginia,Charleston,Men's Street Footwear,60,176,528,Online,10560,12/16/2021
Amazon,Northeast,Vermont,Burlington,Men's Street Footwear,58,176,612.48,Online,10208,8/11/2021
Kohl's,West,California,Los Angeles,Women's Athletic Footwear,36,176,253.44,Outlet,6336,3/22/2021
Sports Direct,South,Tennessee,Knoxville,Women's Athletic Footwear,44,176,464.64,Outlet,7744,5/18/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Apparel,60,176,316.8,Outlet,10560,11/24/2021
Sports Direct,Southeast,Virginia,Richmond,Women's Athletic Footwear,51,176,359.04,Outlet,8976,12/23/2021
Sports Direct,Southeast,Virginia,Richmond,Women's Street Footwear,18,176,95.04,Outlet,3168,1/19/2021
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,32,176,225.28,Outlet,5632,5/18/2021
West Gear,West,Idaho,Boise,Women's Apparel,23,176,242.88,Outlet,4048,4/5/2021
Kohl's,West,New Mexico,Albuquerque,Men's Street Footwear,47,176,330.88,Outlet,8272,11/26/2021
West Gear,South,Arkansas,Little Rock,Men's Street Footwear,18,176,158.4,Outlet,3168,11/20/2021
Kohl's,South,Oklahoma,Oklahoma City,Men's Street Footwear,17,176,119.68,Outlet,2992,1/16/2021
Foot Locker,Northeast,Rhode Island,Providence,Men's Street Footwear,36,176,253.44,Outlet,6336,6/8/2021
Foot Locker,Midwest,Illinois,Chicago,Men's Athletic Footwear,45,175,2756.25,Outlet,7875,6/7/2021
Foot Locker,Midwest,Illinois,Chicago,Women's Street Footwear,50,175,3062.5,Outlet,8750,6/26/2021
Foot Locker,Midwest,Illinois,Chicago,Women's Athletic Footwear,40,175,2800,Outlet,7000,7/3/2021
Foot Locker,Midwest,Illinois,Chicago,Men's Apparel,50,175,3062.5,Outlet,8750,7/4/2021
Foot Locker,Midwest,Illinois,Chicago,Women's Athletic Footwear,40,175,2800,Outlet,7000,7/21/2021
Foot Locker,Midwest,Illinois,Chicago,Men's Apparel,50,175,3062.5,Outlet,8750,7/22/2021
Foot Locker,Midwest,Illinois,Chicago,Women's Athletic Footwear,50,175,3500,Outlet,8750,8/2/2021
Foot Locker,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,35,175,2450,Outlet,6125,10/30/2021
Foot Locker,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,40,175,2800,Outlet,7000,11/5/2021
Foot Locker,Northeast,Pennsylvania,Philadelphia,Women's Apparel,50,175,2187.5,Outlet,8750,11/8/2021
Foot Locker,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45,175,2756.25,Outlet,7875,12/12/2021
Foot Locker,Midwest,Nebraska,Omaha,Women's Street Footwear,25,175,1531.25,Outlet,4375,5/29/2021
Foot Locker,Midwest,Nebraska,Omaha,Women's Street Footwear,30,175,1837.5,Outlet,5250,6/22/2021
Foot Locker,Midwest,Nebraska,Omaha,Women's Athletic Footwear,35,175,2450,Outlet,6125,6/29/2021
Foot Locker,Midwest,Nebraska,Omaha,Men's Apparel,45,175,2756.25,Outlet,7875,6/30/2021
