Retailer,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Sales Method,Total Sales,Month,Year,Day,Season,Date
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,44,238,523.6,Outlet,10472,2,2020,13,Q1,2/13/2020
Walmart,Northeast,New York,New York,Men's Apparel,64,236,604.16,Online,15104,4,2020,25,Q2,4/25/2020
Sports Direct,South,Texas,Houston,Men's Athletic Footwear,39,236,368.16,Online,9204,8,2020,1,Q3,8/1/2020
Sports Direct,South,Texas,Houston,Women's Street Footwear,27,236,254.88,Outlet,6372,7,2020,27,Q3,7/27/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,55,234,514.8,Online,12870,1,2020,5,Q1,1/5/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,47,234,439.92,Online,10998,2,2020,1,Q1,2/1/2020
Sports Direct,Northeast,New York,New York,Men's Street Footwear,24,234,280.8,Online,5616,7,2020,19,Q3,7/19/2020
Sports Direct,South,Texas,Houston,Men's Street Footwear,27,234,315.9,Online,6318,8,2020,6,Q3,8/6/2020
Walmart,South,Texas,Houston,Women's Street Footwear,46,234,538.2,Online,10764,9,2020,7,Q3,9/7/2020
Walmart,South,Texas,Houston,Men's Street Footwear,43,234,503.1,Online,10062,10,2020,20,Q4,10/20/2020
West Gear,West,California,San Francisco,Women's Apparel,49,233,228.34,Online,11417,11,2020,6,Q4,11/6/2020
West Gear,Southeast,Florida,Miami,Men's Apparel,62,233,722.3,Online,14446,9,2020,9,Q3,9/9/2020
West Gear,Southeast,Florida,Miami,Women's Athletic Footwear,53,233,493.96,Online,12349,9,2020,14,Q3,9/14/2020
Foot Locker,Southeast,Florida,Miami,Women's Athletic Footwear,44,233,410.08,Online,10252,9,2020,20,Q3,9/20/2020
Walmart,South,Texas,Houston,Women's Apparel,43,233,500.95,Outlet,10019,9,2020,16,Q3,9/16/2020
West Gear,West,California,San Francisco,Women's Apparel,36,233,167.76,Outlet,8388,11,2020,6,Q4,11/6/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,48,233,447.36,Outlet,11184,2,2020,7,Q1,2/7/2020
Walmart,South,Texas,Houston,Women's Apparel,39,232,542.88,Online,9048,8,2020,11,Q3,8/11/2020
Walmart,South,Texas,Houston,Women's Street Footwear,37,232,429.2,Online,8584,8,2020,20,Q3,8/20/2020
Sports Direct,South,Texas,Houston,Women's Street Footwear,24,232,222.72,Outlet,5568,8,2020,8,Q3,8/8/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,58,231,535.92,Online,13398,3,2020,14,Q1,3/14/2020
West Gear,Southeast,Florida,Miami,Women's Street Footwear,53,231,489.72,Online,12243,9,2020,19,Q3,9/19/2020
Sports Direct,South,Texas,Houston,Women's Apparel,26,231,300.3,Outlet,6006,7,2020,30,Q3,7/30/2020
West Gear,West,California,San Francisco,Men's Athletic Footwear,39,231,180.18,Outlet,9009,11,2020,14,Q4,11/14/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,59,230,542.8,Online,13570,1,2020,29,Q1,1/29/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,46,230,529,Online,10580,2,2020,9,Q1,2/9/2020
West Gear,West,California,San Francisco,Men's Street Footwear,49,230,450.8,Online,11270,11,2020,13,Q4,11/13/2020
Foot Locker,West,Washington,Seattle,Women's Street Footwear,34,230,312.8,Online,7820,8,2020,8,Q3,8/8/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,36,230,414,Outlet,8280,10,2020,23,Q4,10/23/2020
West Gear,West,California,San Francisco,Men's Street Footwear,56,228,638.4,Online,12768,12,2020,25,Q4,12/25/2020
Sports Direct,South,Texas,Houston,Women's Apparel,29,228,396.72,Outlet,6612,8,2020,5,Q3,8/5/2020
Walmart,South,Texas,Houston,Men's Apparel,35,228,239.4,Outlet,7980,9,2020,3,Q3,9/3/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Apparel,35,225,3543.75,In-store,7875,10,2020,28,Q4,10/28/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40,225,2700,Outlet,9000,11,2020,24,Q4,11/24/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40,225,2700,Outlet,9000,11,2020,30,Q4,11/30/2020
Walmart,Northeast,New York,New York,Women's Athletic Footwear,54,225,607.5,Online,12150,5,2020,6,Q2,5/6/2020
Sports Direct,Northeast,New York,New York,Men's Athletic Footwear,34,225,382.5,Online,7650,7,2020,20,Q3,7/20/2020
Sports Direct,South,Texas,Houston,Men's Athletic Footwear,38,225,427.5,Online,8550,8,2020,7,Q3,8/7/2020
Walmart,South,Texas,Houston,Women's Street Footwear,33,225,371.25,Online,7425,8,2020,14,Q3,8/14/2020
Walmart,South,Texas,Houston,Women's Apparel,46,225,724.5,Online,10350,9,2020,4,Q3,9/4/2020
Foot Locker,Southeast,Florida,Miami,Men's Athletic Footwear,42,225,472.5,Online,9450,8,2020,19,Q3,8/19/2020
Foot Locker,Southeast,Florida,Miami,Women's Apparel,42,225,567,Online,9450,8,2020,23,Q3,8/23/2020
West Gear,Southeast,Florida,Miami,Men's Athletic Footwear,57,225,641.25,Online,12825,9,2020,12,Q3,9/12/2020
Foot Locker,Southeast,Florida,Miami,Men's Apparel,52,225,585,Online,11700,9,2020,21,Q3,9/21/2020
Sports Direct,Southeast,Florida,Miami,Women's Street Footwear,41,225,369,Online,9225,9,2020,25,Q3,9/25/2020
Sports Direct,Southeast,Florida,Miami,Men's Athletic Footwear,49,224,548.8,Online,10976,10,2020,6,Q4,10/6/2020
Sports Direct,Southeast,Florida,Miami,Women's Street Footwear,46,224,412.16,Online,10304,10,2020,7,Q4,10/7/2020
Sports Direct,South,Texas,Houston,Women's Apparel,25,224,336,Outlet,5600,7,2020,24,Q3,7/24/2020
Sports Direct,South,Texas,Houston,Women's Street Footwear,23,224,206.08,Outlet,5152,8,2020,2,Q3,8/2/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,28,224,313.6,Outlet,6272,8,2020,27,Q3,8/27/2020
West Gear,West,California,San Francisco,Men's Street Footwear,37,223,412.55,Online,8251,11,2020,7,Q4,11/7/2020
Sports Direct,Southeast,Florida,Miami,Women's Apparel,55,223,735.9,Online,12265,9,2020,28,Q3,9/28/2020
Sports Direct,Southeast,Florida,Miami,Women's Apparel,59,223,789.42,Online,13157,10,2020,4,Q4,10/4/2020
Foot Locker,West,Washington,Seattle,Men's Athletic Footwear,41,221,453.05,Online,9061,8,2020,7,Q3,8/7/2020
Foot Locker,Southeast,Florida,Miami,Women's Apparel,41,221,634.27,Online,9061,8,2020,17,Q3,8/17/2020
Walmart,South,Texas,Houston,Men's Apparel,29,221,192.27,Outlet,6409,8,2020,22,Q3,8/22/2020
Foot Locker,Southeast,Florida,Miami,Women's Apparel,64,219,840.96,Online,14016,5,2020,24,Q2,5/24/2020
West Gear,South,Texas,Houston,Women's Athletic Footwear,35,219,306.6,Outlet,7665,11,2020,4,Q4,11/4/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,58,218,632.2,Online,12644,2,2020,7,Q1,2/7/2020
Foot Locker,Southeast,Florida,Miami,Men's Apparel,53,218,577.7,Online,11554,8,2020,16,Q3,8/16/2020
West Gear,South,Texas,Houston,Women's Street Footwear,46,217,399.28,Online,9982,11,2020,3,Q4,11/3/2020
West Gear,West,Washington,Seattle,Men's Street Footwear,80,217,694.4,Online,17360,7,2020,7,Q3,7/7/2020
Foot Locker,Southeast,Florida,Miami,Women's Street Footwear,32,217,208.32,Online,6944,8,2020,20,Q3,8/20/2020
West Gear,Southeast,Florida,Miami,Women's Athletic Footwear,47,217,407.96,Online,10199,9,2020,8,Q3,9/8/2020
Walmart,South,Texas,Houston,Men's Apparel,33,217,286.44,Outlet,7161,8,2020,28,Q3,8/28/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,43,216,464.4,Online,9288,1,2020,28,Q1,1/28/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,43,216,464.4,Online,9288,9,2020,12,Q3,9/12/2020
West Gear,West,California,San Francisco,Men's Athletic Footwear,51,216,220.32,Outlet,11016,12,2020,26,Q4,12/26/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,47,216,406.08,Outlet,10152,3,2020,9,Q1,3/9/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,56,215,481.6,Online,12040,2,2020,4,Q1,2/4/2020
West Gear,Southeast,Florida,Miami,Women's Street Footwear,50,215,430,Online,10750,9,2020,13,Q3,9/13/2020
Sports Direct,Southeast,Florida,Miami,Men's Athletic Footwear,47,215,505.25,Online,10105,9,2020,30,Q3,9/30/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,30,215,322.5,Outlet,6450,9,2020,2,Q3,9/2/2020
Sports Direct,South,Texas,Houston,Men's Street Footwear,23,213,244.95,Online,4899,7,2020,25,Q3,7/25/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,41,213,436.65,Online,8733,9,2020,6,Q3,9/6/2020
Walmart,South,Texas,Houston,Women's Apparel,50,213,639,Online,10650,9,2020,10,Q3,9/10/2020
Sports Direct,Southeast,Florida,Miami,Women's Apparel,64,213,817.92,Online,13632,10,2020,10,Q4,10/10/2020
Sports Direct,South,Texas,Houston,Women's Athletic Footwear,26,213,276.9,Outlet,5538,7,2020,28,Q3,7/28/2020
Sports Direct,South,Texas,Houston,Women's Athletic Footwear,28,213,298.2,Outlet,5964,8,2020,9,Q3,8/9/2020
Sports Direct,Northeast,New York,New York,Women's Street Footwear,33,210,346.5,Online,6930,7,2020,21,Q3,7/21/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,36,210,453.6,Online,7560,8,2020,27,Q3,8/27/2020
Walmart,South,Texas,Houston,Women's Apparel,53,210,667.8,Online,11130,9,2020,16,Q3,9/16/2020
West Gear,West,California,San Francisco,Men's Athletic Footwear,49,210,308.7,Online,10290,11,2020,8,Q4,11/8/2020
West Gear,West,California,San Francisco,Women's Apparel,54,210,340.2,Online,11340,12,2020,24,Q4,12/24/2020
West Gear,West,California,San Francisco,Women's Street Footwear,64,210,672,Online,13440,12,2020,27,Q4,12/27/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,62,210,651,Online,13020,2,2020,13,Q1,2/13/2020
West Gear,West,Washington,Seattle,Men's Athletic Footwear,77,210,646.8,Online,16170,7,2020,8,Q3,7/8/2020
Foot Locker,Southeast,Florida,Miami,Men's Athletic Footwear,41,210,430.5,Online,8610,4,2020,24,Q2,4/24/2020
Sports Direct,Southeast,Florida,Miami,Women's Athletic Footwear,42,210,352.8,Online,8820,9,2020,26,Q3,9/26/2020
Sports Direct,Southeast,Florida,Miami,Men's Apparel,50,210,525,Online,10500,9,2020,27,Q3,9/27/2020
Sports Direct,Northeast,New York,New York,Women's Athletic Footwear,27,210,283.5,Outlet,5670,7,2020,22,Q3,7/22/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,36,210,378,Outlet,7560,10,2020,29,Q4,10/29/2020
West Gear,West,California,San Francisco,Women's Apparel,33,210,138.6,Outlet,6930,11,2020,12,Q4,11/12/2020
West Gear,West,California,San Francisco,Women's Street Footwear,47,210,394.8,Outlet,9870,11,2020,15,Q4,11/15/2020
West Gear,South,Texas,Houston,Men's Street Footwear,37,209,386.65,Online,7733,11,2020,1,Q4,11/1/2020
Sports Direct,Southeast,Florida,Miami,Women's Athletic Footwear,54,209,451.44,Online,11286,5,2020,24,Q2,5/24/2020
West Gear,West,Nevada,Las Vegas,Men's Athletic Footwear,50,209,209,Outlet,10450,3,2020,10,Q1,3/10/2020
West Gear,Southeast,Florida,Miami,Women's Apparel,44,208,549.12,Online,9152,4,2020,24,Q2,4/24/2020
West Gear,Southeast,Florida,Miami,Women's Street Footwear,49,208,407.68,Online,10192,9,2020,7,Q3,9/7/2020
West Gear,Southeast,Florida,Miami,Men's Apparel,61,208,634.4,Online,12688,9,2020,15,Q3,9/15/2020
Walmart,South,Texas,Houston,Men's Apparel,30,208,249.6,Outlet,6240,10,2020,30,Q4,10/30/2020
West Gear,West,Nevada,Las Vegas,Men's Athletic Footwear,56,208,349.44,Outlet,11648,2,2020,14,Q1,2/14/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,44,206,453.2,Online,9064,1,2020,22,Q1,1/22/2020
Walmart,South,Texas,Houston,Women's Street Footwear,47,206,484.1,Online,9682,10,2020,22,Q4,10/22/2020
West Gear,Southeast,Florida,Miami,Men's Athletic Footwear,54,206,556.2,Online,11124,4,2020,24,Q2,4/24/2020
Walmart,South,Texas,Houston,Men's Apparel,36,206,296.64,Outlet,7416,9,2020,9,Q3,9/9/2020
Sports Direct,South,Texas,Houston,Women's Athletic Footwear,30,204,306,Outlet,6120,8,2020,3,Q3,8/3/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,36,204,367.2,Outlet,7344,9,2020,14,Q3,9/14/2020
West Gear,West,California,San Francisco,Women's Athletic Footwear,48,204,293.76,Outlet,9792,12,2020,22,Q4,12/22/2020
West Gear,West,Nevada,Las Vegas,Men's Athletic Footwear,46,204,281.52,Outlet,9384,2,2020,8,Q1,2/8/2020
Sports Direct,South,Texas,Houston,Women's Apparel,34,203,414.12,Online,6902,7,2020,24,Q3,7/24/2020
Sports Direct,South,Texas,Houston,Women's Street Footwear,34,203,345.1,Online,6902,8,2020,8,Q3,8/8/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,38,203,462.84,Online,7714,8,2020,21,Q3,8/21/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,48,203,584.64,Online,9744,10,2020,23,Q4,10/23/2020
West Gear,West,California,San Francisco,Women's Street Footwear,55,203,558.25,Online,11165,11,2020,15,Q4,11/15/2020
West Gear,West,California,San Francisco,Men's Athletic Footwear,62,203,377.58,Online,12586,12,2020,26,Q4,12/26/2020
West Gear,West,California,San Francisco,Women's Apparel,72,203,438.48,Online,14616,12,2020,30,Q4,12/30/2020
West Gear,West,Colorado,Denver,Men's Street Footwear,59,203,598.85,Online,11977,5,2020,20,Q2,5/20/2020
West Gear,Southeast,Florida,Miami,Women's Street Footwear,32,203,259.84,Online,6496,4,2020,24,Q2,4/24/2020
Sports Direct,Southeast,Florida,Miami,Women's Street Footwear,47,203,381.64,Online,9541,10,2020,1,Q4,10/1/2020
West Gear,West,Colorado,Denver,Men's Street Footwear,64,202,775.68,Online,12928,4,2020,20,Q2,4/20/2020
Sports Direct,Southeast,Florida,Miami,Women's Athletic Footwear,49,202,395.92,Online,9898,10,2020,8,Q4,10/8/2020
Foot Locker,Southeast,Florida,Miami,Men's Apparel,60,202,606,Online,12120,5,2020,24,Q2,5/24/2020
West Gear,West,Nevada,Las Vegas,Men's Athletic Footwear,52,201,209.04,Outlet,10452,3,2020,4,Q1,3/4/2020
West Gear,West,Colorado,Denver,Men's Apparel,45,200,4500,In-store,9000,3,2020,25,Q1,3/25/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Street Footwear,25,200,1500,In-store,5000,10,2020,25,Q4,10/25/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Apparel,40,200,3600,Outlet,8000,12,2020,9,Q4,12/9/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,35,200,2100,Outlet,7000,12,2020,11,Q4,12/11/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,40,200,2400,Outlet,8000,12,2020,17,Q4,12/17/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,37,200,370,Outlet,7400,9,2020,8,Q3,9/8/2020
Sports Direct,South,Texas,Houston,Women's Apparel,34,196,399.84,Online,6664,7,2020,30,Q3,7/30/2020
Walmart,South,Texas,Houston,Men's Apparel,41,196,321.44,Online,8036,8,2020,28,Q3,8/28/2020
West Gear,West,California,San Francisco,Women's Street Footwear,49,196,480.2,Online,9604,11,2020,9,Q4,11/9/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,58,196,568.4,Online,11368,3,2020,9,Q1,3/9/2020
West Gear,West,Colorado,Denver,Men's Street Footwear,63,196,740.88,Online,12348,4,2020,26,Q2,4/26/2020
West Gear,Southeast,Florida,Miami,Men's Apparel,52,196,509.6,Online,10192,4,2020,24,Q2,4/24/2020
West Gear,Southeast,Florida,Miami,Men's Apparel,58,196,568.4,Online,11368,4,2020,24,Q2,4/24/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,47,196,368.48,Outlet,9212,3,2020,3,Q1,3/3/2020
Walmart,South,Texas,Houston,Men's Apparel,42,195,409.5,Online,8190,10,2020,24,Q4,10/24/2020
West Gear,West,Washington,Seattle,Men's Street Footwear,71,195,553.8,Online,13845,6,2020,25,Q2,6/25/2020
West Gear,West,Washington,Seattle,Men's Athletic Footwear,77,195,600.6,Online,15015,8,2020,1,Q3,8/1/2020
Foot Locker,Southeast,Florida,Miami,Men's Apparel,50,195,487.5,Online,9750,8,2020,10,Q3,8/10/2020
Foot Locker,Southeast,Florida,Miami,Men's Athletic Footwear,43,195,419.25,Online,8385,8,2020,13,Q3,8/13/2020
Sports Direct,Southeast,Florida,Miami,Men's Apparel,64,195,624,Online,12480,10,2020,9,Q4,10/9/2020
Walmart,South,Texas,Houston,Men's Apparel,30,195,175.5,Outlet,5850,10,2020,24,Q4,10/24/2020
West Gear,South,Texas,Houston,Men's Athletic Footwear,49,194,285.18,Online,9506,11,2020,2,Q4,11/2/2020
West Gear,Southeast,Florida,Miami,Men's Athletic Footwear,54,194,523.8,Online,10476,4,2020,24,Q2,4/24/2020
West Gear,West,Nevada,Las Vegas,Men's Athletic Footwear,50,193,193,Outlet,9650,2,2020,26,Q1,2/26/2020
West Gear,West,Nevada,Las Vegas,Women's Apparel,57,192,328.32,Outlet,10944,2,2020,6,Q1,2/6/2020
West Gear,West,California,San Francisco,Women's Athletic Footwear,39,190,222.3,Outlet,7410,11,2020,10,Q4,11/10/2020
Sports Direct,South,Texas,Houston,Women's Apparel,39,189,442.26,Online,7371,8,2020,5,Q3,8/5/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,39,189,442.26,Online,7371,8,2020,15,Q3,8/15/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,38,189,430.92,Online,7182,9,2020,2,Q3,9/2/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,56,189,635.04,Online,10584,2,2020,1,Q1,2/1/2020
West Gear,West,Nevada,Las Vegas,Men's Athletic Footwear,62,189,351.54,Online,11718,3,2020,10,Q1,3/10/2020
West Gear,West,Colorado,Denver,Men's Street Footwear,54,189,612.36,Online,10206,4,2020,14,Q2,4/14/2020
West Gear,West,Colorado,Denver,Men's Athletic Footwear,73,189,551.88,Online,13797,4,2020,27,Q2,4/27/2020
West Gear,Southeast,Florida,Miami,Women's Athletic Footwear,38,189,287.28,Online,7182,4,2020,24,Q2,4/24/2020
Sports Direct,Southeast,Florida,Miami,Men's Apparel,57,189,538.65,Online,10773,10,2020,3,Q4,10/3/2020
Walmart,South,Texas,Houston,Women's Street Footwear,48,188,451.2,Online,9024,9,2020,13,Q3,9/13/2020
West Gear,West,California,San Francisco,Women's Athletic Footwear,54,188,406.08,Online,10152,12,2020,28,Q4,12/28/2020
West Gear,West,Colorado,Denver,Men's Athletic Footwear,67,188,503.84,Online,12596,4,2020,21,Q2,4/21/2020
West Gear,West,Washington,Seattle,Men's Athletic Footwear,74,188,556.48,Online,13912,6,2020,26,Q2,6/26/2020
West Gear,West,Washington,Seattle,Men's Athletic Footwear,60,188,451.2,Online,11280,7,2020,26,Q3,7/26/2020
West Gear,West,Washington,Seattle,Men's Street Footwear,78,188,586.56,Online,14664,7,2020,31,Q3,7/31/2020
West Gear,Southeast,Florida,Miami,Women's Street Footwear,47,188,353.44,Online,8836,4,2020,24,Q2,4/24/2020
West Gear,West,California,San Francisco,Women's Athletic Footwear,48,188,270.72,Outlet,9024,12,2020,28,Q4,12/28/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,41,186,305.04,Outlet,7626,2,2020,19,Q1,2/19/2020
Walmart,South,Texas,Houston,Men's Apparel,35,184,257.6,Outlet,6440,9,2020,15,Q3,9/15/2020
Sports Direct,South,Texas,Houston,Women's Street Footwear,32,182,291.2,Online,5824,8,2020,2,Q3,8/2/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,47,182,513.24,Online,8554,10,2020,29,Q4,10/29/2020
West Gear,West,California,San Francisco,Women's Apparel,46,182,251.16,Online,8372,11,2020,12,Q4,11/12/2020
West Gear,West,Nevada,Las Vegas,Men's Athletic Footwear,64,182,465.92,Online,11648,2,2020,14,Q1,2/14/2020
West Gear,West,Colorado,Denver,Men's Athletic Footwear,64,182,465.92,Online,11648,5,2020,21,Q2,5/21/2020
West Gear,West,Washington,Seattle,Women's Apparel,98,182,535.08,Online,17836,6,2020,30,Q2,6/30/2020
West Gear,West,Washington,Seattle,Men's Athletic Footwear,82,182,596.96,Online,14924,7,2020,2,Q3,7/2/2020
Foot Locker,Southeast,Florida,Miami,Men's Apparel,53,182,482.3,Online,9646,8,2020,22,Q3,8/22/2020
Sports Direct,Southeast,Florida,Miami,Women's Athletic Footwear,45,182,327.6,Online,8190,10,2020,2,Q4,10/2/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,31,182,282.1,Outlet,5642,1,2020,14,Q1,1/14/2020
West Gear,West,Nevada,Las Vegas,Men's Athletic Footwear,51,182,371.28,Outlet,9282,2,2020,2,Q1,2/2/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,47,181,510.42,Online,8507,9,2020,8,Q3,9/8/2020
West Gear,West,Colorado,Denver,Women's Apparel,83,181,600.92,Online,15023,4,2020,19,Q2,4/19/2020
Walmart,South,Texas,Houston,Men's Apparel,35,180,252,Outlet,6300,8,2020,16,Q3,8/16/2020
West Gear,West,Nevada,Las Vegas,Men's Athletic Footwear,51,180,275.4,Outlet,9180,2,2020,20,Q1,2/20/2020
Walmart,South,Texas,Houston,Men's Apparel,34,179,182.58,Outlet,6086,8,2020,10,Q3,8/10/2020
West Gear,West,Nevada,Las Vegas,Women's Street Footwear,44,179,315.04,Outlet,7876,2,2020,15,Q1,2/15/2020
Sports Direct,South,Texas,Houston,Women's Street Footwear,32,176,225.28,Online,5632,7,2020,27,Q3,7/27/2020
Sports Direct,South,Texas,Houston,Men's Apparel,26,176,137.28,Outlet,4576,7,2020,23,Q3,7/23/2020
West Gear,West,Nevada,Las Vegas,Women's Street Footwear,46,176,404.8,Outlet,8096,2,2020,3,Q1,2/3/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Street Footwear,30,175,1575,In-store,5250,10,2020,31,Q4,10/31/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Apparel,40,175,3150,In-store,7000,11,2020,3,Q4,11/3/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Apparel,40,175,3150,In-store,7000,11,2020,9,Q4,11/9/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,40,175,2100,Outlet,7000,11,2020,17,Q4,11/17/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Street Footwear,35,175,1837.5,Outlet,6125,11,2020,18,Q4,11/18/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,40,175,2450,Outlet,7000,11,2020,25,Q4,11/25/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35,175,2143.75,Outlet,6125,12,2020,1,Q4,12/1/2020
Foot Locker,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,45,175,2756.25,Outlet,7875,12,2020,25,Q4,12/25/2020
Sports Direct,Northeast,New York,New York,Women's Athletic Footwear,34,175,297.5,Online,5950,7,2020,22,Q3,7/22/2020
Sports Direct,South,Texas,Houston,Women's Athletic Footwear,34,175,357,Online,5950,7,2020,28,Q3,7/28/2020
Walmart,South,Texas,Houston,Men's Apparel,44,175,308,Online,7700,9,2020,9,Q3,9/9/2020
West Gear,South,Texas,Houston,Women's Athletic Footwear,48,175,336,Online,8400,11,2020,4,Q4,11/4/2020
West Gear,West,California,San Francisco,Men's Athletic Footwear,58,175,304.5,Online,10150,11,2020,14,Q4,11/14/2020
West Gear,West,Washington,Seattle,Women's Street Footwear,78,175,546,Online,13650,7,2020,3,Q3,7/3/2020
Foot Locker,West,Washington,Seattle,Women's Athletic Footwear,38,175,266,Online,6650,8,2020,9,Q3,8/9/2020
Foot Locker,Southeast,Florida,Miami,Women's Athletic Footwear,36,175,252,Online,6300,8,2020,21,Q3,8/21/2020
West Gear,Southeast,Florida,Miami,Women's Athletic Footwear,49,175,343,Online,8575,4,2020,24,Q2,4/24/2020
Sports Direct,South,Texas,Houston,Women's Athletic Footwear,37,174,386.28,Online,6438,8,2020,3,Q3,8/3/2020
West Gear,West,California,San Francisco,Women's Athletic Footwear,58,174,403.68,Online,10092,12,2020,22,Q4,12/22/2020
West Gear,West,Nevada,Las Vegas,Women's Apparel,73,174,508.08,Online,12702,2,2020,6,Q1,2/6/2020
West Gear,West,Nevada,Las Vegas,Men's Athletic Footwear,61,174,424.56,Online,10614,2,2020,8,Q1,2/8/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,56,174,487.2,Online,9744,2,2020,19,Q1,2/19/2020
West Gear,West,Washington,Seattle,Men's Athletic Footwear,71,174,370.62,Online,12354,7,2020,14,Q3,7/14/2020
West Gear,West,California,San Francisco,Men's Apparel,38,173,328.7,Outlet,6574,11,2020,5,Q4,11/5/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,27,173,186.84,Outlet,4671,1,2020,8,Q1,1/8/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,41,171,280.44,Outlet,7011,1,2020,20,Q1,1/20/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,43,171,367.65,Outlet,7353,1,2020,26,Q1,1/26/2020
West Gear,West,Nevada,Las Vegas,Women's Street Footwear,47,171,401.85,Outlet,8037,2,2020,9,Q1,2/9/2020
West Gear,West,Nevada,Las Vegas,Men's Street Footwear,47,171,321.48,Outlet,8037,2,2020,25,Q1,2/25/2020
West Gear,West,California,San Francisco,Men's Apparel,51,170,433.5,Outlet,8670,12,2020,23,Q4,12/23/2020
West Gear,West,Nevada,Las Vegas,Women's Apparel,61,170,311.1,Outlet,10370,2,2020,12,Q1,2/12/2020
West Gear,West,Nevada,Las Vegas,Women's Apparel,56,170,190.4,Outlet,9520,3,2020,14,Q1,3/14/2020
Walmart,South,Texas,Houston,Men's Apparel,41,169,346.45,Online,6929,8,2020,22,Q3,8/22/2020
Walmart,South,Texas,Houston,Men's Apparel,41,169,277.16,Online,6929,9,2020,3,Q3,9/3/2020
Walmart,South,Texas,Houston,Men's Apparel,42,169,283.92,Online,7098,10,2020,30,Q4,10/30/2020
West Gear,Southeast,Florida,Miami,Women's Athletic Footwear,38,169,256.88,Online,6422,8,2020,15,Q3,8/15/2020
Walmart,South,Texas,Houston,Men's Apparel,42,168,282.24,Online,7056,8,2020,16,Q3,8/16/2020
Walmart,South,Texas,Houston,Women's Athletic Footwear,45,168,453.6,Online,7560,9,2020,14,Q3,9/14/2020
West Gear,West,Colorado,Denver,Men's Athletic Footwear,69,168,463.68,Online,11592,5,2020,3,Q2,5/3/2020
West Gear,West,Washington,Seattle,Men's Street Footwear,46,167,384.1,Online,7682,6,2020,7,Q2,6/7/2020
West Gear,West,Nevada,Las Vegas,Women's Apparel,36,166,119.52,Outlet,5976,1,2020,7,Q1,1/7/2020
West Gear,West,Nevada,Las Vegas,Women's Street Footwear,47,166,312.08,Outlet,7802,3,2020,11,Q1,3/11/2020
